Term,Definition,Impact
금리,중앙은행이 사람들이 돈을 빌리는 비용을 줄이기 위해 설정하는 비율,금리가 낮아지면 대출이 쉬워져 소비와 투자가 증가하지만 금리가 높아지면 대출이 어려워져 소비와 투자가 감소.
자본유보율,은행이 경제 위기에 대비해 얼마나 안전한 자본을 가지고 있는지 나타내는 지표,자본유보율이 높으면 은행의 안정성이 증가하지만 대출 여력이 감소해 경제 활성화가 더뎌질 수 있음.
물가상승률,시간이 지나면서 물건이나 서비스의 가격이 얼마나 올라갔는지 보여주는 지표,물가상승률이 높으면 소비자들의 구매력이 감소하고 너무 낮으면 경제 활동이 위축될 가능성이 있음.
GDP,한 나라가 일정 기간 동안 생산한 재화와 서비스의 총합,GDP가 증가하면 경제가 성장하고 있다고 판단되지만 감소하면 경제 침체를 의미할 수 있음.
환율,자국 화폐와 외국 화폐 간의 교환 비율,환율이 상승(자국 화폐 약세)하면 수출이 증가하지만 수입 비용이 늘어나고 하락(자국 화폐 강세)하면 반대 효과가 나타남.
재정적자,정부가 지출한 금액이 세입보다 많은 상태,재정적자가 늘어나면 정부 부채가 증가하고 미래 세대에 부담이 될 수 있음.
통화량,한 나라 경제 내에서 유통되는 돈의 총량,통화량이 많아지면 경제가 활성화될 수 있지만 과도하면 인플레이션 위험이 있음.
베이비붐 세대,특정 시기에 출생률이 급증했던 세대,이 세대가 은퇴하면 노동력 부족과 연금 부담 증가가 예상됨.
고용률,일정 인구 중 취업 상태에 있는 사람의 비율,고용률이 높으면 경제가 안정적인 상태를 의미하고 낮으면 경제적 불안정성을 시사함.
적정 수준의 물가,경제 활동을 지원하면서도 과도한 인플레이션이나 디플레이션을 피하는 물가 수준,적정 수준의 물가는 소비자 신뢰를 유지하고 경제 성장을 촉진함.
CPI(소비자물가지수),소비자가 구매하는 재화와 서비스의 평균 가격 변화,높은 CPI는 인플레이션 가능성을 나타내며 낮은 CPI는 디플레이션 가능성을 의미함.
무역수지,수출과 수입의 차이를 나타내는 지표,무역수지가 흑자라면 경제에 긍정적 영향을 미치지만 과도한 흑자는 다른 경제 문제를 야기할 수 있음.
리스크 헤지,미래의 불확실성으로 인한 손실을 줄이기 위한 전략,리스크 헤지는 기업이나 투자자들이 잠재적 손실을 관리하는 데 도움을 줌.
경기후퇴,경제 활동이 둔화되고 생산과 고용이 감소하는 상태,경기후퇴가 지속되면 경제 불황으로 이어질 수 있음.
대체 투자,주식과 채권 외의 부동산 또는 원자재 또는 사모펀드 같은 투자,대체 투자는 포트폴리오 다각화에 도움을 주지만 리스크가 클 수 있음.
유동성,자산을 신속히 현금으로 바꿀 수 있는 능력,유동성이 높은 시장은 투자자에게 매력적이며 시장 안정성을 증가시킴.
국가채무비율,국가 채무가 GDP 대비 차지하는 비율,비율이 높으면 국가의 재정 건전성이 약화될 수 있음.
금본위제,통화의 가치를 금의 일정량에 연동하는 화폐제도,금본위제는 통화 가치를 안정시킬 수 있지만 경제 유연성을 제한함.
인플레이션,시간이 지나면서 물가가 지속적으로 상승하는 현상,인플레이션이 심하면 구매력이 감소하고 경제 불안정을 초래할 수 있음.
디플레이션,시간이 지나면서 물가가 지속적으로 하락하는 현상,디플레이션은 소비 위축과 경제 침체를 야기할 수 있음.
FTA(자유무역협정),특정 국가 간 무역 장벽을 없애기 위한 협정,FTA는 수출입 증가에 도움을 줄 수 있지만 국내 산업 보호가 어려워질 수 있음.
양적완화,중앙은행이 경제 활성화를 위해 시장에 돈을 공급하는 정책,양적완화는 투자와 소비를 촉진하지만 과도하면 인플레이션 위험이 있음.
구조조정,기업이 경영 효율성을 높이기 위해 조직이나 자산을 조정하는 과정,구조조정이 성공하면 기업 경쟁력이 향상되지만 실패하면 실업률 증가와 같은 부작용이 발생할 수 있음.
부채비율,기업이 외부에서 빌린 돈이 자본 대비 얼마나 되는지를 나타내는 비율,부채비율이 높으면 재정적 위험이 커지지만 적정 수준의 부채는 기업 성장을 지원할 수 있음.
공매도,투자자가 주가 하락을 예상하고 보유하지 않은 주식을 매도하는 투자 방법,공매도는 시장 유동성을 높일 수 있지만 과도하면 주가 급락을 초래할 수 있음.
달러화 강세,미국 달러 가치가 다른 통화에 비해 높아진 상태,달러화 강세는 수입을 유리하게 하지만 수출 기업에는 불리하게 작용함.
노동생산성,한 사람이 일정 시간 동안 생산하는 재화와 서비스의 양,노동생산성이 증가하면 경제 성장에 기여할 수 있음.
파생상품,기초 자산의 가치 변동에 따라 가치가 결정되는 금융 상품,파생상품은 투자 위험을 관리할 수 있지만 복잡성이 높아 위험이 증가할 수 있음.
연금,퇴직 후 소득을 보장하기 위해 지급되는 금액,연금제도는 고령화 사회에서 중요한 경제적 안전망으로 작용함.